timestamp,cpu_load_percent,ram_usage_percent,gpu_load_percent,gpu_temp_c,gpu_power_w
2026-08-16T04:46:10.977119,20.1,95.3,74,72,59.896
2026-08-16T04:46:11.979237,20.5,95.3,75,70,61.997
2026-08-16T04:46:12.980705,19.6,95.3,69,70,60.101
2026-08-16T04:46:13.982308,21,95.1,72,70,61.471
2026-08-16T04:46:14.984161,20.2,95.1,71,69,60.94
2026-08-16T04:46:15.986324,22.2,95.1,75,70,63.756
2026-08-16T04:46:16.987320,24.8,96.1,74,70,60.978
2026-08-16T04:46:17.988678,26,96.1,67,70,59.473
2026-08-16T04:46:18.989832,24.4,96.3,70,72,59.016
2026-08-16T04:46:19.991442,23.1,96.4,71,70,60.609
2026-08-16T04:46:20.992640,25.2,97.4,67,71,56.396
2026-08-16T04:46:21.994244,26.8,96.5,72,70,60.081
2026-08-16T04:46:22.995210,18.7,96.4,70,70,60.399
2026-08-16T04:46:23.996111,18.4,96.3,68,70,56.882
2026-08-16T04:46:24.997265,20.5,96.3,72,71,61.177
2026-08-16T04:46:25.998363,20,96.3,71,70,62.368
2026-08-16T04:46:27.000044,18.5,96.3,75,71,64.198
2026-08-16T04:46:28.001107,20.1,96.3,76,71,57.925
2026-08-16T04:46:29.003077,19.2,96.3,77,72,64.723
2026-08-16T04:46:30.003873,20.9,96.3,70,71,59.728
2026-08-16T04:46:31.005732,19.6,96.3,64,71,57.741
2026-08-16T04:46:32.007193,19.7,96.4,71,71,58.755
2026-08-16T04:46:33.008857,20.6,96.3,72,71,52.591
2026-08-16T04:46:34.011001,20.5,96.3,70,70,59.81
2026-08-16T04:46:35.012006,19.6,96.3,68,72,58.835
2026-08-16T04:46:36.012978,21.8,96.4,70,70,61.459
2026-08-16T04:46:37.013934,20.6,96.4,73,70,59.129
2026-08-16T04:46:38.014975,20.3,96.4,75,72,64.802
2026-08-16T04:46:39.016498,19,96.4,70,71,59.189
2026-08-16T04:46:40.017612,21.7,96.4,76,72,62.23
2026-08-16T04:46:41.018457,21.2,96.5,75,72,51.082
2026-08-16T04:46:42.019640,19.4,96.6,76,72,63.304
2026-08-16T04:46:43.020749,20.2,96.6,73,72,56.938
2026-08-16T04:46:44.021765,21.9,96.5,70,71,60.534
2026-08-16T04:46:45.023026,20,96.5,66,71,55.951
2026-08-16T04:46:46.024065,19.1,96.5,69,71,95.054
2026-08-16T04:46:47.025584,18.9,96.2,62,69,53.418
2026-08-16T04:46:48.027941,20.9,96.2,68,70,56.828
2026-08-16T04:46:49.029502,18.1,96.2,61,69,53.451
2026-08-16T04:46:50.030308,19.5,95.4,61,71,54.678
2026-08-16T04:46:51.031712,22.3,95.4,66,71,59.212
2026-08-16T04:46:52.033058,18.8,95.5,65,69,55.899
2026-08-16T04:46:53.034075,20.5,95.5,57,71,51.363
2026-08-16T04:46:54.035762,22,95.5,65,70,57.127
2026-08-16T04:46:55.036826,21.1,95.4,67,71,56.712
2026-08-16T04:46:56.037636,20.9,95.4,59,71,56.406
2026-08-16T04:46:57.039343,20.7,95.4,63,71,55.432
2026-08-16T04:46:58.040824,20.9,95.4,73,70,63.227
2026-08-16T04:46:59.042140,19.4,95.5,67,71,62.484
2026-08-16T04:47:00.043365,21.8,95.5,66,69,54.343
2026-08-16T04:47:01.044262,21.3,95.5,70,70,59.462
2026-08-16T04:47:02.045070,21.4,95.4,65,72,57.895
2026-08-16T04:47:03.046710,22.2,95.4,78,72,60.461
2026-08-16T04:47:04.047887,20.1,95.4,80,71,63.888
2026-08-16T04:47:05.049197,21.9,95.4,72,72,57.804
2026-08-16T04:47:06.050318,19.6,95.4,63,69,65.074
2026-08-16T04:47:07.051389,20.7,95.4,62,71,54.554
2026-08-16T04:47:08.052313,17.8,95.4,62,70,55.229
2026-08-16T04:47:09.053381,17.8,95.4,62,69,54.641
2026-08-16T04:47:10.054735,21.5,95.4,63,70,55.717
2026-08-16T04:47:11.055925,20.2,95.5,67,70,56.869
2026-08-16T04:47:12.057152,19.5,95.5,65,70,56.49
2026-08-16T04:47:13.058392,22.1,95.9,65,69,55.634
2026-08-16T04:47:14.059519,22.5,96.1,60,68,55.548
2026-08-16T04:47:15.061312,27.5,96.2,42,69,43.891
2026-08-16T04:47:16.063405,23.3,96,69,69,58.811
2026-08-16T04:47:17.064611,22.2,96.1,65,69,55.755
2026-08-16T04:47:18.066100,23.6,96.1,62,69,55.095
2026-08-16T04:47:19.067362,20.6,96,54,70,51.317
2026-08-16T04:47:20.068572,21.3,95.7,63,71,50.626
2026-08-16T04:47:21.069447,20.4,95.7,63,70,67.956
2026-08-16T04:47:22.070217,17.6,95.7,62,70,54.883
